Date,AAPL,GOOGL,AMZN
11/3/2015,114.050095,748.820007,625.309998
11/4/2015,113.519714,755.309998,640.950012
11/5/2015,112.996407,760.669983,655.650024
11/6/2015,113.127228,761.599976,659.369995
11/9/2015,112.669365,754.77002,655.48999
11/10/2015,109.11834,758.26001,659.679993
11/11/2015,108.501602,765.25,673.25
11/12/2015,108.137138,756.530029,665.599976
11/13/2015,104.97863,740.070007,642.349976
11/16/2015,106.698074,750.419983,647.809998
11/17/2015,106.240173,745.97998,643.299988
11/18/2015,109.604263,760.01001,663.539978
11/19/2015,110.996635,759.940002,661.27002
11/20/2015,111.482559,777,668.450012
11/23/2015,110.034142,776.700012,678.98999
11/24/2015,111.090088,769.630005,671.150024
11/25/2015,110.295761,769.26001,675.340027
11/27/2015,110.09021,771.969971,673.26001
11/30/2015,110.548103,762.849976,664.799988
12/1/2015,109.650993,783.789978,679.059998
12/2/2015,108.660454,777.849976,676.01001
12/3/2015,107.65123,768.200012,666.25
12/4/2015,111.230263,779.210022,672.640015
12/7/2015,110.529411,772.98999,669.830017
12/8/2015,110.482658,775.140015,677.330017
12/9/2015,108.043701,762.549988,664.789978
12/10/2015,108.557663,760.039978,662.320007
12/11/2015,105.763588,750.419983,640.150024
12/14/2015,105.109451,762.539978,657.909973
12/15/2015,103.24987,760.090027,658.640015
12/16/2015,104.044151,776.590027,675.77002
12/17/2015,101.838814,769.830017,670.650024
12/18/2015,99.082115,756.849976,664.140015
12/21/2015,100.296921,760.799988,664.51001
12/22/2015,100.203491,767.130005,663.150024
12/23/2015,101.49305,768.51001,663.700012
12/24/2015,100.951057,765.840027,662.789978
12/28/2015,99.820358,782.23999,675.200012
12/29/2015,101.614525,793.960022,693.969971
12/30/2015,100.287575,790.299988,689.070007
12/31/2015,98.362572,778.01001,675.890015
1/4/2016,98.446655,759.440002,636.98999
1/5/2016,95.979675,761.530029,633.789978
1/6/2016,94.101387,759.330017,632.650024
1/7/2016,90.129868,741,607.940002
1/8/2016,90.606438,730.909973,607.049988
1/11/2016,92.073563,733.070007,617.73999
1/12/2016,93.409874,745.340027,617.890015
1/13/2016,91.00827,719.570007,581.809998
1/14/2016,92.998695,731.390015,593
1/15/2016,90.765305,710.48999,570.179993
1/19/2016,90.326103,719.080017,574.47998
1/20/2016,90.447578,718.559998,571.77002
1/21/2016,89.9897,726.669983,575.02002
1/22/2016,94.7742,745.460022,596.380005
1/25/2016,92.923958,733.619995,596.530029
1/26/2016,93.437889,733.789978,601.25
1/27/2016,87.298416,717.580017,583.349976
1/28/2016,87.9245,748.299988,635.349976
1/29/2016,90.961533,761.349976,587
2/1/2016,90.111168,770.77002,574.809998
2/2/2016,88.288963,780.909973,552.099976
2/3/2016,90.036423,749.380005,531.070007
2/4/2016,90.759865,730.030029,536.26001
2/5/2016,88.335838,703.76001,502.130005
2/8/2016,89.266014,704.159973,488.100006
2/9/2016,89.247223,701.02002,482.070007
2/10/2016,88.570732,706.849976,490.480011
2/11/2016,88.035179,706.359985,503.820007
2/12/2016,88.307655,706.890015,507.079987
2/16/2016,90.79744,717.640015,521.099976
2/17/2016,92.187965,731.969971,534.099976
2/18/2016,90.44043,717.51001,525
2/19/2016,90.233719,722.109985,534.900024
2/22/2016,91.022934,729.049988,559.5
2/23/2016,88.965324,717.289978,552.940002
2/24/2016,90.290085,720.900024,554.039978
2/25/2016,90.910202,729.119995,555.150024
2/26/2016,91.051132,724.859985,555.22998
2/29/2016,90.844444,717.219971,552.52002
3/1/2016,94.452271,742.169983,579.039978
3/2/2016,94.658974,739.47998,580.210022
3/3/2016,95.36364,731.590027,577.48999
3/4/2016,96.782341,730.219971,575.140015
3/7/2016,95.711258,712.799988,562.799988
3/8/2016,94.92205,713.530029,560.26001
3/9/2016,95.006615,725.409973,559.469971
3/10/2016,95.053589,732.169983,558.929993
3/11/2016,96.077667,744.869995,569.609985
3/14/2016,96.32196,750.23999,573.369995
3/15/2016,98.257431,750.570007,577.02002
3/16/2016,99.563393,757.359985,574.27002
3/17/2016,99.403671,758.47998,559.440002
3/18/2016,99.516403,755.409973,552.080017
3/21/2016,99.507019,762.159973,553.97998
3/22/2016,100.268051,760.049988,560.47998
3/23/2016,99.713692,757.559998,569.630005
3/24/2016,99.281532,754.840027,582.950012
3/28/2016,98.830544,753.280029,579.869995
3/29/2016,101.170006,765.890015,593.859985
3/30/2016,102.936356,768.340027,598.690002
3/31/2016,102.400795,762.900024,593.640015
4/1/2016,103.340347,769.669983,598.5
4/4/2016,104.402031,765.119995,593.190002
4/5/2016,103.171249,758.570007,586.140015
4/6/2016,104.251701,768.070007,602.080017
4/7/2016,101.978004,760.119995,591.429993
4/8/2016,102.090752,759.469971,594.599976
4/11/2016,102.428986,757.539978,595.929993
4/12/2016,103.763138,764.320007,603.169983
4/13/2016,105.266418,771.909973,614.820007
4/14/2016,105.322792,775.390015,620.75
4/15/2016,103.208817,780,625.890015
4/18/2016,100.982109,787.679993,635.349976
4/19/2016,100.446556,776.25,627.900024
4/20/2016,100.653252,774.919983,632.98999
4/21/2016,99.563393,780,631
4/22/2016,99.290916,737.77002,620.5
4/25/2016,98.727196,742.210022,626.200012
4/26/2016,98.041336,725.369995,616.880005
4/27/2016,91.906113,721.460022,606.570007
4/28/2016,89.096878,705.059998,602
4/29/2016,88.072762,707.880005,659.590027
5/2/2016,87.978806,714.409973,683.849976
5/3/2016,89.425705,708.440002,671.320007
5/4/2016,88.495567,711.369995,670.900024
5/5/2016,88.136368,714.710022,659.090027
5/6/2016,87.644852,725.179993,673.950012
5/9/2016,87.711006,729.130005,679.75
5/10/2016,88.306511,739.380005,703.070007
5/11/2016,87.446327,730.549988,713.22998
5/12/2016,85.395096,728.070007,717.929993
5/13/2016,85.565239,724.830017,709.919983
5/16/2016,88.741341,730.299988,710.659973
5/17/2016,88.372688,720.190002,695.27002
5/18/2016,89.384109,721.780029,697.450012
5/19/2016,89.043816,715.309998,698.52002
5/20/2016,90.007996,721.710022,702.799988
5/23/2016,91.151764,717.25,696.75
5/24/2016,92.541298,733.030029,704.200012
5/25/2016,94.167145,738.099976,708.349976
5/26/2016,94.91391,736.929993,714.909973
5/27/2016,94.857185,747.599976,712.23999
5/31/2016,94.39402,748.849976,722.789978
6/1/2016,93.070633,748.460022,719.440002
6/2/2016,92.371155,744.27002,728.23999
6/3/2016,92.560196,735.859985,725.539978
6/6/2016,93.231331,730.059998,726.72998
6/7/2016,93.609444,731.090027,723.73999
6/8/2016,93.524368,742.929993,726.640015
6/9/2016,94.195511,742.52002,727.650024
6/10/2016,93.420403,733.190002,717.909973
6/13/2016,92.01194,731.880005,715.23999
6/14/2016,92.125389,733.25,719.299988
6/15/2016,91.822899,732.190002,714.26001
6/16/2016,92.210464,724.25,717.51001
6/17/2016,90.111977,704.25,706.390015
6/20/2016,89.894562,706.130005,714.01001
6/21/2016,90.660217,708.880005,715.820007
6/22/2016,90.319923,710.469971,710.599976
6/23/2016,90.839828,714.869995,722.080017
6/24/2016,88.287621,685.200012,698.960022
6/27/2016,87.002052,681.140015,691.359985
6/28/2016,88.467209,691.26001,707.950012
6/29/2016,89.232864,695.190002,715.599976
6/30/2016,90.367195,703.530029,715.619995
7/1/2016,90.641319,710.25,725.679993
7/5/2016,89.790573,704.890015,728.099976
7/6/2016,90.301018,708.969971,737.609985
7/7/2016,90.688583,707.26001,736.570007
7/8/2016,91.388084,717.780029,745.809998
7/11/2016,91.671654,727.200012,753.780029
7/12/2016,92.087578,732.51001,748.210022
7/13/2016,91.56768,729.47998,742.630005
7/14/2016,93.382576,735.799988,741.200012
7/15/2016,93.373138,735.630005,735.440002
7/18/2016,94.365654,753.200012,736.070007
7/19/2016,94.403473,753.409973,739.950012
7/20/2016,94.488556,757.080017,745.719971
7/21/2016,93.987556,754.409973,744.429993
7/22/2016,93.259705,759.280029,744.859985
7/25/2016,92.01194,757.52002,739.609985
7/26/2016,91.378624,757.650024,735.590027
7/27/2016,97.314865,761.969971,736.669983
7/28/2016,98.628769,765.840027,752.609985
7/29/2016,98.50592,791.340027,758.809998
8/1/2016,100.245193,800.940002,767.73999
